鳥種,數量,距離,結群,備註,組別,樣點編號,"棲地類型
 (其他說明)",X座標,Y座標,調查者,"調查旅次
編號",天氣代號,"開始時間
（時）","開始時間
（分）",年,月,日
金背鳩,1,A,N,,1,B3,,121.3205,25.0106,許家芸、吳儒杰、薛毓璇、蘇恩平、陳奕叡,1,B,16,40,2024,3,20
白尾八哥,1,A,N,,1,B3,,121.3205,25.0106,許家芸、吳儒杰、薛毓璇、蘇恩平、陳奕叡,1,B,16,40,2024,3,20
紅嘴黑鵯,1,A,N,,1,B3,,121.3205,25.0106,許家芸、吳儒杰、薛毓璇、蘇恩平、陳奕叡,1,B,16,40,2024,3,20
麻雀,2,A,N,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,16,53,2024,3,20
夜鷺,2,D,N,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,16,53,2024,3,20
白耳畫眉,2,A,N,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,16,53,2024,3,20
夜鷺,6,D,Y,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,16,53,2024,3,20
白尾八哥,2,A,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,4,2024,3,20
白尾八哥,2,A,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,4,2024,3,20
白尾八哥,2,A,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,4,2024,3,20
小白鷺,1,D,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,4,2024,3,20
家燕,1,D,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,4,2024,3,20
斑文鳥,2,D,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,19,2024,3,20
夜鷺,1,D,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,19,2024,3,20
小白鷺,4,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,33,2024,3,20
夜鷺,1,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,33,2024,3,20
金背鳩,1,A,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,33,2024,3,20
小白鷺,2,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,33,2024,3,20
黑冠麻鷺,1,A,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,33,2024,3,20
小白鷺,1,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,33,2024,3,20
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,33,2024,3,20
蒼鷺,4,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,33,2024,3,20
蒼鷺,1,D,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,42,2024,3,20
蒼鷺,3,D,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,42,2024,3,20
蒼鷺,1,D,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,1,B,17,42,2024,3,20
