鳥種,數量,距離,結群,備註,組別,樣點編號,"棲地類型
 (其他說明)",X座標,Y座標,調查者,"調查旅次
編號",天氣代號,"開始時間
（時）","開始時間
（分）",年,月,日,科名,物種來源
金背鳩,1.0,A,N,,1,B3,,121.3205,25.0106,許家芸、吳儒杰、薛毓璇、蘇恩平、陳奕叡,1.0,B,16,40,2024,3,20,鳩鴿,特有
白尾八哥,1.0,A,N,,1,B3,,121.3205,25.0106,許家芸、吳儒杰、薛毓璇、蘇恩平、陳奕叡,1.0,B,16,40,2024,3,20,椋鳥,入侵
紅嘴黑鵯,1.0,A,N,,1,B3,,121.3205,25.0106,許家芸、吳儒杰、薛毓璇、蘇恩平、陳奕叡,1.0,B,16,40,2024,3,20,鵯,原生
麻雀,2.0,A,N,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,16,53,2024,3,20,雀,原生
夜鷺,2.0,D,N,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,16,53,2024,3,20,鷺,原生
白耳畫眉,2.0,A,N,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,16,53,2024,3,20,畫眉,特有
夜鷺,6.0,D,Y,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,16,53,2024,3,20,鷺,原生
白尾八哥,2.0,A,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,4,2024,3,20,椋鳥,入侵
白尾八哥,2.0,A,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,4,2024,3,20,椋鳥,入侵
白尾八哥,2.0,A,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,4,2024,3,20,椋鳥,入侵
小白鷺,1.0,D,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,4,2024,3,20,鷺,原生
家燕,1.0,D,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,4,2024,3,20,燕,原生
斑文鳥,2.0,D,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,19,2024,3,20,梅花雀,原生
夜鷺,1.0,D,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,19,2024,3,20,鷺,原生
小白鷺,4.0,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,33,2024,3,20,鷺,原生
夜鷺,1.0,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,33,2024,3,20,鷺,原生
金背鳩,1.0,A,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,33,2024,3,20,鳩鴿,特有
小白鷺,2.0,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,33,2024,3,20,鷺,原生
黑冠麻鷺,1.0,A,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,33,2024,3,20,鷺,原生
小白鷺,1.0,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,33,2024,3,20,鷺,原生
蒼鷺,1.0,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,33,2024,3,20,鷺,原生
蒼鷺,4.0,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,33,2024,3,20,鷺,原生
蒼鷺,1.0,D,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,42,2024,3,20,鷺,原生
蒼鷺,3.0,D,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,42,2024,3,20,鷺,原生
蒼鷺,1.0,D,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,1.0,B,17,42,2024,3,20,鷺,原生
