X座標,Y座標,樣點編號,入侵,原生,歸化,特有
121.53369,25.016076,L2,19.0,126.0,0.0,38.0
121.53398,25.016521,K3,19.0,263.0,0.0,56.0
121.53398,25.016521,L1,23.0,143.0,0.0,50.0
121.53462,25.014675,K2,5.0,118.0,0.0,28.0
121.53463409232985,25.01867421675,B3,30.0,175.0,0.0,11.0
121.53479467001416,25.02129290223,A1,27.0,152.0,0.0,12.0
121.53490482450613,25.01957252237,B2,90.0,221.0,0.0,38.0
121.53537784085398,25.02073510253,B1,78.0,205.0,0.0,7.0
121.5360711661858,25.02130464536,A2,50.0,215.0,0.0,11.0
121.53665,25.014958,K1,1.0,103.0,0.0,36.0
121.5367,25.016861,L3,21.0,167.0,0.0,43.0
121.536997,25.013734,J3,20.0,251.0,0.0,72.0
121.5371876,25.0209269,C1,56.0,136.0,67.0,14.0
121.5372235,25.0199483,C2,57.0,128.0,11.0,28.0
121.5374431,25.0192368,C3,40.0,125.0,3.0,43.0
121.53745133717337,25.02196813006,A3,26.0,101.0,0.0,8.0
121.537476,25.0135361,J2,16.0,222.0,0.0,59.0
121.5379333,25.015429,I2,12.0,211.0,0.0,59.0
121.5380392,25.0203083,D1,94.0,100.0,221.0,22.0
121.538635,25.020668,D2,13.0,37.0,0.0,21.0
121.5387396,25.01569,I1,8.0,173.0,0.0,59.0
121.5387473,25.0136309,J1,17.0,174.0,0.0,62.0
121.539154,25.0144999,I3,33.0,185.0,0.0,77.0
121.53967,25.01611,H2,139.0,172.0,0.0,125.0
121.53967,25.01611,H3,91.0,152.0,0.0,191.0
121.5397096,25.0196594,D3,6.0,92.0,0.0,29.0
121.53977,25.01728,H1,90.0,248.0,0.0,94.0
121.54193,25.01773,G2,36.0,206.0,0.0,115.0
121.54222,25.01647,G1,28.0,116.0,0.0,116.0
121.54222,25.01647,G3,85.0,215.0,0.0,143.0
121.542311,25.020043,E1,55.0,200.0,0.0,41.0
121.543228,25.018661,F1,46.0,129.0,0.0,91.0
121.543579,25.019495,E3,43.0,140.0,0.0,50.0
121.543946,25.020003,E2,32.0,146.0,0.0,64.0
121.543989,25.017884,F2,30.0,122.0,0.0,46.0
121.545201,25.018438,F3,22.0,131.0,0.0,71.0
