鳥種名稱,數量,樣點數,科名,外來種/過境/本土/特有種等等
金背鳩,548.0,36,,
白尾八哥,815.0,35,,
紅嘴黑鵯,453.0,30,,
麻雀,1734.0,36,,
夜鷺,510.0,31,,
白耳畫眉,2.0,1,,
小白鷺,211.0,18,,
家燕,616.0,33,,
斑文鳥,3.0,2,,
黑冠麻鷺,65.0,24,,
蒼鷺,306.0,7,,
喜鵲,217.0,35,,
樹鵲,156.0,30,,
紅鳩,66.0,20,,
珠頸斑鳩,68.0,22,,
白頭翁,1169.0,34,,
黑領椋鳥,329.0,32,,
野鴿,510.0,24,,
大卷尾,45.0,22,,
五色鳥,250.0,31,,
大白鷺,92.0,7,,
白鶺鴒,18.0,7,,
台灣藍鵲,12.0,11,,
白面白鶺鴒,2.0,2,,
輝椋鳥,7.0,5,,
家八哥,126.0,25,,
黃頭鷺,158.0,21,,
綠繡眼,168.0,20,,
鵲鴝,95.0,19,,
斯氏繡眼,170.0,17,,
灰鶺鴒,4.0,3,,
黑鳶,1.0,1,,
紅尾伯勞,11.0,8,,
八哥,107.0,9,,
灰斑鳩,2.0,2,,
灰椋鳥,1.0,1,,
綠鳩,9.0,5,,
洋燕,90.0,16,,
XX鷹,1.0,1,,
白頭鶇,2.0,1,,
中白鷺,1.0,1,,
白鷺鷥,5.0,2,,
白腰文鳥,20.0,1,,
翠鳥,10.0,5,,
XX八哥,35.0,6,,
XX鳩鴿,24.0,4,,
紅冠水雞,57.0,6,,
東方黃鶺鴒,1.0,1,,
XX燕,33.0,6,,
白腹秧雞,27.0,5,,
XX鷺,13.0,5,,
黃鸝,3.0,3,,
疣鼻棲鴨,235.0,4,,
黑天鵝,14.0,2,,
綠頭鴨,10.0,2,,
綠頭鴨(馴化),53.0,3,,
鴻雁,9.0,1,,
鸕鷀,35.0,1,,
綠頭鴨（馴化）,3.0,1,,
小卷尾,2.0,1,,
