鳥種,數量,樣點數,科名,物種來源
金背鳩,548,36,鳩鴿,特有
白尾八哥,815,35,椋鳥,入侵
紅嘴黑鵯,453,30,鵯,原生
麻雀,1734,36,雀,原生
夜鷺,510,31,鷺,原生
白耳畫眉,2,1,畫眉,特有
小白鷺,211,18,鷺,原生
家燕,616,33,燕,原生
斑文鳥,3,2,梅花雀,原生
黑冠麻鷺,65,24,鷺,原生
蒼鷺,306,7,鷺,原生
喜鵲,217,35,鴉,原生
樹鵲,156,30,鴉,原生
紅鳩,66,20,鳩鴿,原生
珠頸斑鳩,68,22,鳩鴿,原生
白頭翁,1169,34,鵯,特有
黑領椋鳥,329,32,椋鳥,原生
野鴿,510,24,鳩鴿,入侵
大卷尾,45,22,卷尾,特有
五色鳥,250,31,擬啄木,特有
大白鷺,92,7,鷺,原生
白鶺鴒,18,7,鶺鴒,原生
台灣藍鵲,12,11,鴉,特有
白面白鶺鴒,2,2,鶺鴒,原生
輝椋鳥,7,5,椋鳥,入侵
家八哥,126,25,椋鳥,入侵
黃頭鷺,158,21,鷺,原生
綠繡眼,338,37,繡眼,原生
鵲鴝,95,19,鶲,原生
灰鶺鴒,4,3,鶺鴒,原生
黑鳶,1,1,鷹,原生
紅尾伯勞,11,8,伯勞,原生
八哥,107,9,椋鳥,原生
灰斑鳩,2,2,鳩鴿,原生
灰椋鳥,1,1,椋鳥,原生
綠鳩,9,5,鳩鴿,原生
洋燕,90,16,燕,原生
XX鷹,1,1,鷹,
白頭鶇,2,1,鶇,特有
中白鷺,1,1,鷺,原生
白鷺鷥,5,2,鷺,
白腰文鳥,20,1,梅花雀,原生
翠鳥,10,5,翠鳥,原生
XX八哥,35,6,椋鳥,
XX鳩鴿,24,4,鳩鴿,
紅冠水雞,57,6,秧雞,原生
東方黃鶺鴒,1,1,鶺鴒,原生
XX燕,33,6,燕,
白腹秧雞,27,5,秧雞,原生
XX鷺,13,5,鷺,
黃鸝,3,3,黃鸝,原生
疣鼻棲鴨,235,4,雁鴨,歸化
黑天鵝,14,2,雁鴨,歸化
綠頭鴨,10,2,雁鴨,原生
綠頭鴨(馴化),56,4,雁鴨,歸化
鴻雁,9,1,雁鴨,原生
鸕鶿,35,1,鸕鶿,原生
小卷尾,2,1,卷尾,特有
